id,sentiment
5000,0
5001,0
5002,0
5003,0
5004,0
5005,1
5006,1
5007,0
5008,0
5009,1
5010,0
5011,1
5012,0
5013,1
5014,0
5015,1
5016,0
5017,1
5018,0
5019,0
5020,0
5021,1
5022,0
5023,1
5024,0
5025,1
5026,1
5027,0
5028,1
5029,0
5030,0
5031,0
5032,1
5033,1
5034,0
5035,1
5036,1
5037,1
5038,0
5039,0
5040,0
5041,1
5042,1
5043,0
5044,1
5045,0
5046,0
5047,1
5048,0
5049,1
5050,1
5051,0
5052,0
5053,0
5054,0
5055,0
5056,0
5057,1
5058,1
5059,1
5060,1
5061,0
5062,1
5063,0
5064,0
5065,0
5066,0
5067,0
5068,0
5069,1
5070,0
5071,1
5072,1
5073,1
5074,0
5075,0
5076,1
5077,0
5078,0
5079,0
5080,1
5081,0
5082,1
5083,1
5084,0
5085,0
5086,1
5087,0
5088,0
5089,1
5090,1
5091,0
5092,0
5093,0
5094,1
5095,0
5096,1
5097,0
5098,1
5099,0
5100,0
5101,0
5102,1
5103,0
5104,0
5105,1
5106,0
5107,0
5108,1
5109,0
5110,0
5111,1
5112,1
5113,0
5114,0
5115,0
5116,1
5117,0
5118,1
5119,1
5120,1
5121,0
5122,0
5123,1
5124,0
5125,1
5126,0
5127,1
5128,1
5129,1
5130,1
5131,0
5132,1
5133,1
5134,0
5135,1
5136,0
5137,0
5138,0
5139,0
5140,0
5141,0
5142,0
5143,0
5144,1
5145,0
5146,1
5147,1
5148,1
5149,1
5150,0
5151,1
5152,0
5153,1
5154,0
5155,1
5156,0
5157,1
5158,1
5159,0
5160,1
5161,1
5162,1
5163,1
5164,1
5165,0
5166,0
5167,0
5168,1
5169,1
5170,1
5171,1
5172,1
5173,0
5174,0
5175,0
5176,0
5177,0
5178,1
5179,0
5180,0
5181,1
5182,0
5183,0
5184,1
5185,0
5186,1
5187,1
5188,1
5189,1
5190,1
5191,1
5192,1
5193,0
5194,0
5195,1
5196,1
5197,1
5198,1
5199,0
5200,1
5201,0
5202,1
5203,0
5204,0
5205,1
5206,1
5207,1
5208,1
5209,0
5210,0
5211,1
5212,1
5213,1
5214,1
5215,0
5216,0
5217,0
5218,0
5219,1
5220,0
5221,1
5222,1
5223,0
5224,1
5225,0
5226,0
5227,1
5228,1
5229,0
5230,0
5231,0
5232,0
5233,1
5234,0
5235,1
5236,1
5237,0
5238,0
5239,1
5240,1
5241,1
5242,0
5243,1
5244,0
5245,0
5246,1
5247,1
5248,1
5249,1
5250,1
5251,1
5252,0
5253,1
5254,1
5255,1
5256,1
5257,0
5258,0
5259,1
5260,0
5261,0
5262,0
5263,0
5264,1
5265,1
5266,0
5267,0
5268,1
5269,1
5270,1
5271,1
5272,1
5273,0
5274,0
5275,1
5276,0
5277,0
5278,1
5279,1
5280,1
5281,1
5282,1
5283,1
5284,1
5285,0
5286,0
5287,0
5288,1
5289,0
5290,1
5291,1
5292,0
5293,0
5294,0
5295,1
5296,0
5297,0
5298,1
5299,1
5300,1
5301,1
5302,1
5303,1
5304,1
5305,0
5306,1
5307,1
5308,1
5309,0
5310,0
5311,0
5312,1
5313,1
5314,1
5315,1
5316,1
5317,0
5318,1
5319,0
5320,1
5321,1
5322,1
5323,1
5324,1
5325,1
5326,0
5327,0
5328,0
5329,0
5330,1
5331,0
5332,1
5333,0
5334,0
5335,1
5336,1
5337,1
5338,0
5339,0
5340,0
5341,0
5342,0
5343,0
5344,0
5345,0
5346,0
5347,0
5348,1
5349,1
5350,1
5351,0
5352,0
5353,0
5354,1
5355,1
5356,0
5357,0
5358,1
5359,1
5360,1
5361,0
5362,0
5363,1
5364,0
5365,1
5366,1
5367,0
5368,1
5369,1
5370,1
5371,1
5372,0
5373,0
5374,1
5375,0
5376,0
5377,1
5378,1
5379,0
5380,0
5381,0
5382,1
5383,1
5384,0
5385,0
5386,1
5387,1
5388,0
5389,1
5390,1
5391,0
5392,0
5393,1
5394,1
5395,1
5396,1
5397,0
5398,0
5399,1
5400,1
5401,0
5402,1
5403,0
5404,1
5405,1
5406,0
5407,0
5408,1
5409,0
5410,1
5411,0
5412,1
5413,1
5414,1
5415,1
5416,1
5417,0
5418,0
5419,1
5420,0
5421,0
5422,0
5423,0
5424,1
5425,0
5426,1
5427,0
5428,1
5429,1
5430,1
5431,1
5432,0
5433,0
5434,1
5435,0
5436,1
5437,0
5438,0
5439,0
5440,1
5441,0
5442,0
5443,0
5444,0
5445,0
5446,0
5447,1
5448,1
5449,0
5450,1
5451,1
5452,0
5453,0
5454,0
5455,0
5456,0
5457,0
5458,0
5459,1
5460,0
5461,1
5462,1
5463,1
5464,0
5465,0
5466,0
5467,1
5468,0
5469,0
5470,1
5471,1
5472,0
5473,0
5474,1
5475,0
5476,0
5477,0
5478,1
5479,0
5480,0
5481,1
5482,0
5483,1
5484,0
5485,0
5486,0
5487,1
5488,0
5489,0
5490,1
5491,1
5492,0
5493,1
5494,1
5495,0
5496,0
5497,1
5498,1
5499,1
5500,1
5501,0
5502,1
5503,0
5504,1
5505,0
5506,0
5507,1
5508,0
5509,1
5510,0
5511,0
5512,0
5513,1
5514,1
5515,0
5516,1
5517,1
5518,1
5519,0
5520,0
5521,0
5522,1
5523,0
5524,1
5525,1
5526,1
5527,1
5528,0
5529,0
5530,1
5531,0
5532,1
5533,1
5534,0
5535,0
5536,1
5537,0
5538,1
5539,1
5540,1
5541,1
5542,0
5543,1
5544,0
5545,1
5546,0
5547,0
5548,0
5549,0
5550,1
5551,0
5552,1
5553,1
5554,1
5555,1
5556,0
5557,1
5558,1
5559,0
5560,1
5561,1
5562,0
5563,0
5564,1
5565,0
5566,1
5567,0
5568,0
5569,1
5570,0
5571,1
5572,1
5573,1
5574,0
5575,0
5576,0
5577,0
5578,0
5579,0
5580,0
5581,1
5582,0
5583,1
5584,0
5585,1
5586,0
5587,1
5588,1
5589,0
5590,0
5591,0
5592,1
5593,1
5594,0
5595,0
5596,1
5597,1
5598,0
5599,0
5600,1
5601,0
5602,0
5603,1
5604,1
5605,0
5606,0
5607,0
5608,0
5609,1
5610,1
5611,0
5612,1
5613,1
5614,0
5615,1
5616,0
5617,0
5618,1
5619,0
5620,0
5621,0
5622,0
5623,1
5624,0
5625,0
5626,1
5627,1
5628,1
5629,0
5630,1
5631,1
5632,0
5633,1
5634,0
5635,0
5636,1
5637,1
5638,1
5639,1
5640,1
5641,1
5642,0
5643,1
5644,0
5645,1
5646,0
5647,1
5648,1
5649,1
5650,0
5651,1
5652,0
5653,1
5654,1
5655,0
5656,1
5657,0
5658,1
5659,0
5660,1
5661,0
5662,0
5663,1
5664,1
5665,0
5666,1
5667,0
5668,0
5669,1
5670,1
5671,0
5672,0
5673,0
5674,1
5675,0
5676,0
5677,1
5678,0
5679,0
5680,0
5681,1
5682,0
5683,0
5684,0
5685,1
5686,1
5687,1
5688,1
5689,1
5690,0
5691,1
5692,1
5693,0
5694,1
5695,1
5696,1
5697,1
5698,0
5699,0
5700,1
5701,0
5702,0
5703,1
5704,1
5705,1
5706,1
5707,1
5708,0
5709,1
5710,1
5711,1
5712,0
5713,0
5714,1
5715,0
5716,0
5717,1
5718,0
5719,1
5720,0
5721,0
5722,1
5723,0
5724,1
5725,1
5726,0
5727,1
5728,0
5729,1
5730,1
5731,1
